Sample,Total,Aligned,Concordant
Aip02,68361,62765,61426
Aip05,75092,70129,68320
Aip06,86972,74291,71484
Aip12,90010,79349,76804
Aip13,135162,121142,118606
Aip14,80019,71612,68248
Aip15,95591,85603,83134
Aip17,83417,72607,70206
Aip18,90539,77800,74258
Aip19,85009,74304,72270
Aip20,89611,69705,67844
Aip21,122124,107419,103754
Aip23,96707,85185,82502
Aip24,74539,65906,62362
Aip25,100402,87372,84068
Aip26,70552,63486,62092
Aip28,64248,48723,46072
Aip29,106861,99171,97440
Aip30,94215,83948,81456
Aip32,82376,74240,71848
Aip33,111970,100251,97704
Aip34,72230,64619,62474
Aip35,111961,103232,101374
Aip36,86745,73191,70972
*,,,
Unk,89969,50392,16486
